Moneda,Descripcion
AED,Dirham de EAU
AFN,Afghani
ALL,Lek
AMD,Dram armenio
ANG,Florin antillano neerlandes
AOA,Kwanza
ARS,Peso Argentino
AUD,Dolar Australiano
AWG,Aruba Florin
AZN,Azerbaijanian Manat
BAM,Convertibles marca
BBD,Dolar de Barbados
BDT,Taka
BGN,Lev bulgaro
BHD,Dinar de Bahrein
BIF,Burundi Franc
BMD,Dolar de Bermudas
BND,Dolar de Brunei
BOB,Boliviano
BOV,Mvdol
BRL,Real brasileno
BSD,Dolar de las Bahamas
BTN,Ngultrum
BWP,Pula
BYR,Rublo bielorruso
BZD,Dolar de Belice
CAD,Dolar Canadiense
CDF,Franco congoleno
CHE,WIR Euro
CHF,Franco Suizo
CHW,Franc WIR
CLF,Unidad de Fomento
CLP,Peso chileno
CNY,Yuan Renminbi
COP,Peso Colombiano
COU,Unidad de Valor real
CRC,Colon costarricense
CUC,Peso Convertible
CUP,Peso Cubano
CVE,Cabo Verde Escudo
CZK,Corona checa
DJF,Franco de Djibouti
DKK,Corona danesa
DOP,Peso Dominicano
DZD,Dinar argelino
EGP,Libra egipcia
ERN,Nakfa
ETB,Birr etiope
EUR,Euro
FJD,Dolar de Fiji
FKP,Libra malvinense
GBP,Libra Esterlina
GEL,Lari
GHS,Cedi de Ghana
GIP,Libra de Gibraltar
GMD,Dalasi
GNF,Franco guineano
GTQ,Quetzal
GYD,Dolar guyanes
HKD,Dolar De Hong Kong
HNL,Lempira
HRK,Kuna
HTG,Gourde
HUF,Florin
IDR,Rupia
ILS,Nuevo Shekel Israeli
INR,Rupia india
IQD,Dinar iraqui
IRR,Rial irani
ISK,Corona islandesa
JMD,Dolar Jamaiquino
JOD,Dinar jordano
JPY,Yen
KES,Chelin keniano
KGS,Som
KHR,Riel
KMF,Franco Comoro
KPW,Corea del Norte gano
KRW,Won
KWD,Dinar kuwaiti
KYD,Dolar de las Islas Caiman
KZT,Tenge
LAK,Kip
LBP,Libra libanesa
LKR,Rupia de Sri Lanka
LRD,Dolar liberiano
LSL,Loti
LYD,Dinar libio
MAD,Dirham marroqui
MDL,Leu moldavo
MGA,Ariary malgache
MKD,Denar
MMK,Kyat
MNT,Tugrik
MOP,Pataca
MRO,Ouguiya
MUR,Rupia de Mauricio
MVR,Rupia
MWK,Kwacha
MXN,Peso Mexicano
MXV,Mexico Unidad de Inversion (UDI)
MYR,Ringgit malayo
MZN,Mozambique Metical
NAD,Dolar de Namibia
NGN,Naira
NIO,Cordoba Oro
NOK,Corona noruega
NPR,Rupia nepali
NZD,Dolar de Nueva Zelanda
OMR,Rial omani
PAB,Balboa
PEN,Nuevo Sol
PGK,Kina
PHP,Peso filipino
PKR,Rupia de Pakistan
PLN,Zloty
PYG,Guarani
QAR,Qatar Rial
RON,Leu rumano
RSD,Dinar serbio
RUB,Rublo ruso
RWF,Franco ruandes
SAR,Riyal saudi
SBD,Dolar de las Islas Salomon
SCR,Rupia de Seychelles
SDG,Libra sudanesa
SEK,Corona sueca
SGD,Dolar De Singapur
SHP,Libra de Santa Helena
SLL,Leona
SOS,Chelin somali
SRD,Dolar de Suriname
SSP,Libra sudanesa Sur
STD,Dobra
SVC,Colon El Salvador
SYP,Libra Siria
SZL,Lilangeni
THB,Baht
TJS,Somoni
TMT,Turkmenistan nuevo manat
TND,Dinar tunecino
TOP,Pa'anga
TRY,Lira turca
TTD,Dolar de Trinidad y Tobago
TWD,Nuevo dolar de Taiwan
TZS,Shilling tanzano
UAH,Hryvnia
UGX,Shilling de Uganda
USD,Dolar americano
USN,Dolar estadounidense (dia siguiente)
UYI,Peso Uruguay en Unidades Indexadas (URUIURUI)
UYU,Peso Uruguayo
UZS,Uzbekistan Sum
VEF,Bolivar
VND,Dong
VUV,Vatu
WST,Tala
XAF,Franco CFA BEAC
XAG,Plata
XAU,Oro
XBA,Unidad de Mercados de Bonos Unidad Europea Composite (EURCO)
XBB,Unidad Monetaria de Bonos de Mercados Unidad Europea (UEM-6)
XBC,Mercados de Bonos Unidad Europea unidad de cuenta a 9 (UCE-9)
XBD,Mercados de Bonos Unidad Europea unidad de cuenta a 17 (UCE-17)
XCD,Dolar del Caribe Oriental
XDR,DEG (Derechos Especiales de Giro)
XOF,Franco CFA BCEAO
XPD,Paladio
XPF,Franco CFP
XPT,Platino
XSU,Sucre
XTS,Codigos reservados especificamente para propositos de prueba
XUA,Unidad ADB de Cuenta
XXX,Los codigos asignados para las transacciones en que intervenga ninguna moneda
YER,Rial yemeni
ZAR,Rand
ZMW,Kwacha zambiano
ZWL,Zimbabwe Dolar
